team,color_1,color_2,color_3
Abilene Christian Wildcats,#4e2683,#c5c6c8,
Academy of Art Urban Knights,#cc0000,#000000,
Adams State Grizzlies,#124734,#231f20,
Adamson Falcons,#1d3e79,,
Adelphi Panthers,#4f2c1d,#ffb500,
Adrian Bulldogs,#000000,#ffc72c,
Agnes Scott Scotties,#5f249f,,
Air Force Falcons,#003594,#b2b4b2,
Akron Zips,#041e42,#a89968,
Alabama A&M Bulldogs,#660000,#000000,
Alabama Crimson Tide,#b30838,,
Alabama State Hornets,#000000,#c99700,
Alabama–Huntsville Chargers,#003da5,#29282a,
Alaska Anchorage Seawolves,#00583d,#ffc425,
Alaska Nanooks,#1e59ae,#fcd006,
Albany Great Danes,#46166b,#eeb211,
Albany State Golden Rams,#0039a6,#eaab00,
Alberta Golden Bears,#284e36,#f9b117,
Albertus Magnus Falcons,#003da5,#c1c6c8,
Albion Britons,#512d6d,#eaaa00,
Albright Lions,#ba0c2f,#010101,
Alcorn State Braves,#46166a,#e9a713,
Alderson Broaddus Battlers,#003865,#ffb81c,#888b8d
Alfred Saxons,#550d8a,#f5aa01,
Alice Lloyd Eagles,#003865,#010101,
Allegheny Gators,#0c2340,#ffc72c,
Allen Yellow Jackets,#ffd100,#004c97,
Alma Scots,#862633,#010101,
Alvernia Golden Wolves,#9b2743,#eaaa00,#c8c9c7
Alverno Inferno,#010101,#e4002b,
America East Conference,#1d2247,#32b7e6,
American Athletic Conference,#041e41,#e2231a,
American Eagles,#005099,#c4122e,
American International Yellow Jackets,#000000,#ffb60f,
American Midwest Conference,#003893,#d81e05,
American University of Beirut,#ee3524,#008a5e,
Amherst Mammoths,#3f1f69,,
Anderson Ravens,#fe5000,#010101,
Anderson Trojans,#010101,#8c714c,
Angelo State Rams,#245397,#f0c33b,
Anna Maria Amcats,#8a1538,#000000,
Antelope Valley Pioneers,#001a72,#ba0c2f,
Appalachian State Mountaineers,#222222,#ffcc00,
Apprentice Builders,#7d2248,#010101,#8c714c
Aquinas Saints,#76232f,#c8c9c7,
Arcadia Knights,#9d2235,#a2aaad,
Arizona Christian Firestorm,#da291c,#f1b434,
Arizona State Sun Devils,#7d2248,#ffc72c,
